cand_a_id,cand_b_id,winner,preference,reasoning,diff_semantic,diff_skill,diff_yoe,diff_title,diff_trust,diff_tenure,diff_growth,diff_notice,diff_behavioral
CAND_0075722,CAND_0080185,A,1,Candidate A has stronger target skill coverage.,-0.014428700000000072,0.175,0.30000000000000004,0.0,0.0,-0.22222222222222232,0.0,-0.30000000000000004,-0.0028888888888889963
CAND_0072708,CAND_0001458,A,1,Candidate B holds higher profile trust. Candidate B aligns better with the target engineering title.,0.0033626500000000226,-0.0428571428571428,0.0,-0.6,-0.6,-0.25,0.0,0.0,0.07400000000000001
CAND_0083183,CAND_0051028,B,0,Candidate B holds higher profile trust.,0.005314750000000035,0.0,-0.8,0.0,-0.6,-0.1342592592592592,0.0,-0.7000000000000001,-0.21699999999999997
CAND_0043341,CAND_0014012,B,0,Candidate A holds higher profile trust. Candidate B has stronger target skill coverage.,-0.006975299999999907,-0.175,0.0,0.0,0.6,0.0,0.0,0.30000000000000004,0.08288888888888885
CAND_0011378,CAND_0000783,A,1,Candidate A holds higher profile trust.,-0.03331603000000005,0.0,0.62,0.0,0.6,0.23888888888888893,0.0,0.19999999999999996,-0.06222222222222229
CAND_0095208,CAND_0083002,A,1,Candidate A holds higher profile trust.,-0.023424160000000027,0.0,-0.1999999999999999,0.0,0.6,-0.20833333333333331,0.30000000000000004,0.30000000000000004,-0.16533333333333333
CAND_0012598,CAND_0067932,A,1,Candidate A holds higher profile trust. Candidate A has stronger target skill coverage. Candidate B aligns better with the target engineering title.,0.05432579999999998,0.2178571428571428,0.62,-0.6,0.15000000000000002,0.513888888888889,0.30000000000000004,-0.4,-0.16522222222222216
CAND_0027341,CAND_0048195,A,1,Candidate B holds higher profile trust. Candidate B has stronger target skill coverage.,0.03626309999999999,-0.175,0.0,0.0,-0.6,0.0,0.0,-0.4,-0.36877777777777787
CAND_0014539,CAND_0030066,A,1,Candidate A holds higher profile trust.,0.026886159999999992,0.0,0.30000000000000004,0.0,0.6,0.09953703703703698,0.0,-0.5,0.21033333333333337
CAND_0004945,CAND_0003797,A,1,Candidate B holds higher profile trust.,-0.023426959999999997,0.0,0.62,0.0,-0.6,0.1388888888888889,0.30000000000000004,0.0,-0.01800000000000007
CAND_0050046,CAND_0023901,B,0,Candidate A holds higher profile trust.,-0.05283806000000002,0.0,0.30000000000000004,0.0,0.6,-0.1527777777777778,0.0,0.30000000000000004,-0.1392222222222222
CAND_0073374,CAND_0007912,A,1,Candidate B holds higher profile trust. Candidate A aligns better with the target engineering title.,-0.01096230999999992,0.0,0.0,0.6,-0.6,0.01388888888888895,0.0,-0.4,0.19955555555555565
CAND_0082023,CAND_0063387,B,0,Candidate B holds higher profile trust.,-0.004861059999999973,0.0,-0.92,0.0,-0.6,-0.33333333333333337,-0.30000000000000004,0.0,0.10644444444444445
CAND_0040915,CAND_0059939,A,1,Candidate B holds higher profile trust.,0.04485230000000007,0.0,0.0,0.0,-0.6,0.22916666666666663,0.0,0.0,0.3446666666666667
CAND_0002877,CAND_0088980,A,1,"Stochastic utility comparison of skills, experience, and timeline.",-0.03805649,0.0,0.0,0.0,0.0,0.061111111111111116,-0.30000000000000004,0.30000000000000004,0.2634444444444445
CAND_0072456,CAND_0041724,B,0,Candidate A aligns better with the target engineering title.,0.03246861000000001,0.0,-0.92,0.6,0.0,0.02777777777777779,0.0,-0.7000000000000001,0.14288888888888895
CAND_0036048,CAND_0054236,B,0,"Stochastic utility comparison of skills, experience, and timeline.",-0.00156303999999996,0.0,-0.62,0.0,0.0,-0.10416666666666663,0.0,0.4,-0.14600000000000002
CAND_0039710,CAND_0052055,A,1,Candidate A aligns better with the target engineering title.,0.024989100000000097,0.0,-0.42000000000000004,0.6,0.0,-0.25,-0.30000000000000004,0.0,0.012222222222222079
CAND_0090001,CAND_0057169,B,0,Candidate B holds higher profile trust.,0.03818149999999998,0.0,-0.62,0.0,-0.15000000000000002,-0.4444444444444444,0.0,0.0,0.20288888888888879
CAND_0072861,CAND_0037667,B,0,Candidate A has stronger target skill coverage.,0.011553050000000065,0.175,-0.12000000000000001,0.0,0.0,0.11111111111111116,-0.30000000000000004,0.0,0.1597777777777779
CAND_0050844,CAND_0077840,A,1,"Stochastic utility comparison of skills, experience, and timeline.",-0.04680392999999994,0.0,-0.12000000000000001,0.0,0.0,-0.5694444444444444,0.0,0.5,-0.13822222222222233
CAND_0006835,CAND_0036500,A,1,Candidate A aligns better with the target engineering title.,0.0046251400000000276,0.0,0.0,0.6,0.0,-0.2777777777777778,0.0,0.0,0.14766666666666667
CAND_0089693,CAND_0064322,B,0,Candidate B holds higher profile trust.,0.017909249999999988,0.0,0.0,0.0,-0.6,0.0,0.0,-0.4,-0.10622222222222227
CAND_0006416,CAND_0032188,A,1,Candidate B holds higher profile trust.,-0.022731160000000084,0.0,-0.1999999999999999,0.0,-0.6,-0.1527777777777778,0.0,0.0,-0.05066666666666658
CAND_0073688,CAND_0027122,A,1,Candidate B holds higher profile trust.,-0.034846349999999915,0.0,-0.30000000000000004,0.0,-0.6,0.30787037037037035,0.0,0.30000000000000004,-0.1747777777777778
CAND_0015038,CAND_0039555,B,0,"Stochastic utility comparison of skills, experience, and timeline.",-0.025708900000000035,0.0,0.0,0.0,0.0,0.1342592592592594,0.30000000000000004,0.30000000000000004,-0.3154444444444445
CAND_0014376,CAND_0036429,B,0,"Stochastic utility comparison of skills, experience, and timeline.",-0.05391289999999993,0.0,-0.8,0.0,0.0,0.29861111111111116,0.0,0.5,-0.008111111111111069
CAND_0078071,CAND_0004479,A,1,"Stochastic utility comparison of skills, experience, and timeline.",0.014937109999999976,0.0,0.8,0.0,0.0,0.0805555555555556,0.0,-0.9,-0.08099999999999996
CAND_0059670,CAND_0018094,B,0,Candidate B holds higher profile trust. Candidate B aligns better with the target engineering title.,-0.004862900000000003,-0.0857142857142857,0.0,-1.0,-0.6,0.02777777777777768,0.0,0.0,-0.5175555555555555
CAND_0036651,CAND_0094298,A,1,Candidate A holds higher profile trust.,-0.017289699999999963,0.0,0.49999999999999994,0.0,0.6,-0.24305555555555558,0.30000000000000004,0.5,0.09144444444444433
CAND_0070368,CAND_0023839,A,1,Candidate A holds higher profile trust.,0.026255140000000066,0.0,0.8,0.0,0.6,0.1499999999999999,0.0,0.0,-0.10499999999999998
CAND_0027764,CAND_0031177,A,1,Candidate A holds higher profile trust.,0.010760859999999983,0.0,0.7200000000000001,0.0,0.6,0.04166666666666674,-0.30000000000000004,-0.7000000000000001,0.3315555555555556
CAND_0075068,CAND_0025626,B,0,"Stochastic utility comparison of skills, experience, and timeline.",0.01833130000000005,0.0,0.0,0.0,0.0,-0.001388888888888884,-0.30000000000000004,0.30000000000000004,-0.14966666666666667
CAND_0037773,CAND_0098401,B,0,Candidate B holds higher profile trust.,-0.027848899999999954,0.0,-0.30000000000000004,0.0,-0.6,-0.30740740740740746,0.0,0.0,-0.07355555555555576
CAND_0081533,CAND_0071204,B,0,Candidate B aligns better with the target engineering title.,0.014136499999999996,-0.1285714285714285,0.42000000000000004,-0.6,0.0,0.14583333333333337,0.0,0.0,-0.027000000000000024
CAND_0087247,CAND_0064240,B,0,Candidate B holds higher profile trust.,0.022813500000000042,0.0,-0.62,0.0,-0.15000000000000002,-0.5416666666666667,0.0,0.30000000000000004,0.023555555555555496
